"GEOID","CountyFIPS","StateAbbr","COUNTY","E_TOTPOP","M_TOTPOP","Tract_Generation","Tract_NAMEPCAP","Tract_PLNOXAN","Tract_PLSO2AN","Tract_PLCH4AN","Tract_UNNOX","Tract_UNSO2","Tract_UNCH4","RPL_EBM","RPL_HVM","RPL_SVM","E_PM","E_OZONE","E_DSLPM","E_COAL","EP_UNINSUR","EP_AGE65","EP_ASTHMA","EP_BPHIGH","EP_CANCER","EP_MHLTH","geometry"
"37001020601","37001","NC","Alamance",3113,164,2505,2,NA,NA,NA,NA,NA,NA,0.5874,0.4,0.0113,9.52,0.33,0.35,0,2.5,27.8,8,35.7,10.4,9.2,c(-79.493889, 36.098889)
"37001021201","37001","NC","Alamance",5565,449,17066,10,NA,NA,NA,NA,NA,NA,0.5017,0.8,0.8864,9.48,0,0.3,0,21.6,18.9,11,39.6,6.8,16.9,c(-79.347471, -79.3325, 36.072359, 36.131111)
"37001021300","37001","NC","Alamance",6018,261,5617,3,NA,NA,NA,NA,NA,NA,0.047,0.4,0.6104,9.32,0,0.19,0,8.9,18.6,10.1,39.6,7.2,13.9,c(-79.348889, 36.148889)
"37001021600","37001","NC","Alamance",7553,565,9597,5,NA,NA,NA,NA,NA,NA,0.2964,0.4,0.6393,9.45,0.33,0.25,0,8.3,13.8,10.4,24.6,5.1,16.6,c(-79.521389, 36.119167)
"37001021803","37001","NC","Alamance",3246,314,10465,5.2,NA,NA,NA,NA,NA,NA,0.1269,0.2,0.4304,9.47,0,0.18,0,15.2,15,9.9,35.4,7.3,15.3,c(-79.42346, 35.86267)
"37001021901","37001","NC","Alamance",4819,316,5455,3,NA,NA,NA,NA,NA,NA,0.2756,0,0.2931,9.51,0,0.23,0,9.5,17,9.4,32.7,7.4,13.6,c(-79.361944, 35.948056)
"37001022001","37001","NC","Alamance",4044,359,5380,1.5,NA,NA,NA,NA,NA,NA,0.3139,0,0.5034,9.51,0,0.24,0,7,15.8,9.7,33.4,7.1,14.1,c(-79.3244, 35.9483)
"37003040400","37003","NC","Alexander",6761,506,1538,1.2,NA,NA,NA,NA,NA,NA,0.3855,1,0.8915,9.17,0.33,0.19,0,7.9,21.3,10.4,40.2,8.1,16.1,c(-81.152498, 35.909074)
"37003040500","37003","NC","Alexander",7016,679,9602,5,NA,NA,NA,NA,NA,NA,0.3242,0.4,0.7359,9.39,0.33,0.17,0,10.8,18.9,10.2,36.4,6.9,16.4,c(-81.106111, 35.902222)
"37003040600","37003","NC","Alexander",6372,502,10873,5,NA,NA,NA,NA,NA,NA,0.1589,0,0.6122,9.39,0.33,0.19,0,5.4,15.6,9.3,33.8,6.4,14.6,c(-81.177116, 35.878809)
"37007920100","37007","NC","Anson",3031,354,229549.999,443.4,NA,NA,NA,NA,NA,NA,0.5001,0.6,0.756,8.91,0,0.17,0,7,17.1,10.9,44.2,7,15.2,c(-79.8775, -79.935844, -79.921738, 34.9833, 34.968056, 34.968651)
"37007920200","37007","NC","Anson",1881,291,3907,2.2,NA,NA,NA,NA,NA,NA,0.2314,0.8,0.7295,9.04,0,0.17,0,13.9,16.4,11.1,43.6,7.2,16.5,c(-80.122015, 35.102174)
"37007920400","37007","NC","Anson",3175,389,35796,20,NA,NA,NA,NA,NA,NA,0.5817,0.8,0.8633,9,0,0.19,0,13,11.1,12.4,47.9,6.7,18,c(-80.093192, -80.09732, -80.051028, -80.028987, 35.023406, 34.99115, 34.969356, 34.973863)
"37007920600","37007","NC","Anson",3753,462,144652,100,NA,NA,NA,NA,NA,NA,0.101,0.8,0.8974,8.94,0,0.15,0,11.2,22.1,11.6,46.9,6.5,16.5,c(-79.943889, 34.838297)
"37013930400","37013","NC","Beaufort",4724,440,9348,5,NA,NA,NA,NA,NA,NA,0.8304,0.8,0.9483,7.96,0,0.22,0,5.5,27.8,10.8,43.9,8.8,14.6,c(-77.053611, 35.565278)
"37013930600","37013","NC","Beaufort",3174,337,37341,22.4,NA,NA,NA,NA,NA,NA,0.1458,0.4,0.1517,7.75,0,0.13,0,8,24.6,9,35.7,8.5,12.4,c(-76.833611, -76.8484, -76.87, 35.499444, 35.5052, 35.501111)
"37013930800","37013","NC","Beaufort",2628,405,237100,54,NA,NA,NA,NA,NA,NA,0.1589,1,0.8495,7.51,0,0.12,0,12.7,28.9,11.1,44.8,8.1,15.7,c(-76.779864, 35.376266)
"37015960300","37015","NC","Bertie",3276,436,60796,30,NA,NA,NA,NA,NA,NA,0.0632,0.8,0.9011,8.09,0,0.14,0,11.9,18.4,12.1,49.6,6.9,16.1,c(-77.211944, -77.211111, -77.218502, 36.148056, 36.141111, 36.154227)
"37017950200","37017","NC","Bladen",3099,379,110909,55.2,NA,NA,NA,NA,NA,NA,0.3577,0.8,0.9188,8.79,0,0.14,0,21.7,21.7,11.1,39.8,6.7,16.6,c(-78.62345, -78.624278, 34.823522, 34.822869)
"37019020102","37019","NC","Brunswick",5186,387,12232,9.9,NA,NA,NA,NA,NA,NA,0.3682,0,0.5872,7.63,0,0.17,0,13.2,18.6,9.2,25.8,4.8,14.4,c(-78.06444, -78.061015, 34.27355, 34.27532)
"37019020306","37019","NC","Brunswick",2167,243,15527683,2190.7,NA,NA,NA,NA,NA,NA,0.3167,0.6,0.3474,7.14,0,0.22,0,7,35,9,40.5,10.6,11.5,c(-77.9905, -78.011824, -78.0114, 33.9397, 33.944384, 33.9597)
"37021002101","37021","NC","Buncombe",1462,122,1586,1.5,NA,NA,NA,NA,NA,NA,0.3242,0.4,0.0078,8.37,0.33,0.35,0,1.1,34.1,7.6,36.5,11,7.6,c(-82.58844, 35.561156)
"37021002102","37021","NC","Buncombe",5740,638,-205,8.8,NA,NA,NA,NA,NA,NA,0.3388,0,0.9171,8.38,0.33,0.31,0,11.3,11.8,10,34.1,6.6,15.4,c(-82.517383, 35.54012)
"37021002203","37021","NC","Buncombe",4429,647,3791743,1011.5,475.466,8.004,59499.198,475.466,8.004,59499.198,0.7717,0,0.8965,8.38,0.67,0.32,0,11.4,17.5,9.8,29.9,6.1,15.1,c(-82.5417, 35.4731)
"37021002604","37021","NC","Buncombe",5787,667,6589,8.6,NA,NA,NA,NA,NA,NA,0.1039,0,0.4275,8.19,0.67,0.16,0,13.9,20,9.6,33.1,7.3,14.2,c(-82.710278, -82.710571, 35.6575, 35.702527)
"37021002701","37021","NC","Buncombe",3861,359,8178,2.4,NA,NA,NA,NA,NA,NA,0.4041,0,0.3877,8.27,0.67,0.23,0,9.9,20,8.6,33.8,7.2,12.3,c(-82.5992, 35.6497)
"37023020801","37023","NC","Burke",5457,410,57,3.5,2.479,0.232,10.589,2.479,0.232,10.589,0.6851,0.4,0.5939,9.07,0.33,0.21,0,8.3,20.5,9.7,37.7,8,14.3,c(-81.6643, -81.6072, 35.7766, 35.7481)
"37023021100","37023","NC","Burke",6000,487,17442,10,NA,NA,NA,NA,NA,NA,0.8116,0.4,0.6315,9.56,0.33,0.27,0,8.5,19.9,10,36,7.4,15.8,c(-81.417, -81.416111, 35.72, 35.758056)
"37023021202","37023","NC","Burke",4928,540,3608,1.9,NA,NA,NA,NA,NA,NA,0.3338,0.4,0.7685,9.47,0.33,0.23,0,10.8,17.6,9.9,36,7.3,15.9,c(-81.413308, 35.70974)
"37023021400","37023","NC","Burke",4997,452,-74,5.4,NA,NA,NA,NA,NA,NA,0.7051,0.8,0.9905,8.91,0,0.33,0,16.8,18.3,10.4,38.6,7.3,16.6,c(-81.7278, -81.748075, -81.66243, 35.737748, 35.729, 35.7208)
"37025041701","37025","NC","Cabarrus",4025,454,7209,5,NA,NA,NA,NA,NA,NA,0.2888,0,0.3349,9.63,0.67,0.27,0,7.1,17.4,8.9,32.4,7.1,13.1,c(-80.4185, 35.401091)
"37025042603","37025","NC","Cabarrus",8096,627,70803,14.9,0,18.998,0,99.594,25.519,2638.109,0.8871,0,0.2152,10.04,1.67,0.43,0,6.1,12.4,8.7,28,5.9,12.3,c(-80.668024, -80.670385, 35.353269, 35.34598)
"37027030700","37027","NC","Caldwell",7027,636,1695,1.1,NA,NA,NA,NA,NA,NA,0.5162,0.2,0.6053,9.09,0.33,0.22,0,15.4,15,10.2,34.7,7.4,16,c(-81.540861, 35.84995)
"37027031402","37027","NC","Caldwell",3357,269,73919.001,25.5,NA,NA,NA,NA,NA,NA,0.7943,0,0.7229,9.41,0.33,0.23,0,11.8,20.5,9.5,34.1,7.3,14.4,c(-81.437773, 35.774234)
"37029950102","37029","NC","Camden",4827,299,35461,35,NA,NA,NA,NA,NA,NA,0.1585,0,0.6873,7.27,0.33,0.15,0,8.7,17.8,9.7,34.8,7.4,14.1,c(-76.058, -76.033, -76.144486, -76.125847, 36.33, 36.27, 36.30786, 36.311822)
"37033930200","37033","NC","Caswell",5376,381,26454,14.9,NA,NA,NA,NA,NA,NA,0.1079,0.8,0.9554,9.09,0,0.17,0,5,25,10.7,44,6.9,15.7,c(-79.316944, -79.348886, -79.278889, 36.413889, 36.428608, 36.439444)
"37033930300","37033","NC","Caswell",3922,311,6688,3,NA,NA,NA,NA,NA,NA,0.3257,1,0.8601,9.09,0,0.2,0,9.4,21.2,10.9,41.2,7.8,16.5,c(-79.437885, 36.510939)
"37033930400","37033","NC","Caswell",2229,270,8767,5,NA,NA,NA,NA,NA,NA,0.1067,0.6,0.6106,9.09,0,0.17,0,5.6,20.5,10.5,40.6,7.2,14.9,c(-79.48112, 36.38427)
"37035010102","37035","NC","Catawba",4113,389,35328,17.5,NA,NA,NA,NA,NA,NA,0.7658,0.4,0.4162,9.82,0.67,0.34,0,5.8,23.7,9.1,36.7,8.8,12.6,c(-81.15, 35.715)
"37035010201","37035","NC","Catawba",5000,397,121744,41,NA,NA,NA,NA,NA,NA,0.1094,0,0.5711,9.63,0.33,0.21,0,7.3,15.5,9.4,32.3,6.3,14.6,c(-81.175556, -81.1922, 35.779167, 35.8214)
"37035011300","37035","NC","Catawba",7036,581,17691,10,NA,NA,NA,NA,NA,NA,0.7338,0.8,0.9306,9.91,1,0.3,0,15,11.7,10.7,36.9,6.4,17.5,c(-81.208611, -81.183611, 35.651111, 35.656667)
"37035011401","37035","NC","Catawba",3544,384,5902,3.5,NA,NA,NA,NA,NA,NA,0.7745,0.4,0.482,9.85,1,0.3,0,13.1,15.3,10,35.3,6.6,15.9,c(-81.134167, 35.711667)
"37035011503","37035","NC","Catawba",3690,255,6897413,2119,7119.806,2812.138,1334082.462,7119.806,2812.138,1334082.462,0.4254,0.2,0.1768,9.91,1,0.23,0,5.2,20.8,9.2,33.5,7.5,12.9,c(-80.9658, 35.5975)
"37035011601","37035","NC","Catawba",4542,481,111211,74.3,NA,NA,NA,NA,NA,NA,0.3538,0.2,0.8024,9.93,1,0.22,0,15.2,14.7,10,33.3,6.4,16.5,c(-81.167, -81.156944, 35.593, 35.629444)
"37035011602","37035","NC","Catawba",5162,489,68,1.8,1.575,0.152,6.931,1.575,0.152,6.931,0.297,0.4,0.5707,9.93,1,0.22,0,7.6,17.1,10,35.3,7.1,15.9,c(-81.2081, 35.5772)
"37035011702","37035","NC","Catawba",7067,569,124555,44.4,NA,NA,NA,NA,NA,NA,0.5511,0,0.5328,9.9,0.33,0.24,0,10.2,16,9.4,33.9,7.2,13.8,c(-81.3006, -81.243333, -81.25198, -81.266667, -81.315278, 35.6067, 35.612222, 35.588135, 35.588333, 35.586111)
"37035011802","37035","NC","Catawba",6331,669,8483,5,NA,NA,NA,NA,NA,NA,0.3377,0.4,0.6631,9.65,0.33,0.18,0,13.6,18.9,10.2,36,7.2,16.2,c(-81.326667, 35.629167)
"37037020103","37037","NC","Chatham",4616,436,5180,3,NA,NA,NA,NA,NA,NA,0.1393,0.2,0.3304,9.82,0,0.28,0,7.6,31.3,8.5,34.1,8.2,10.6,c(-79.080278, -79.025, 35.823333, 35.832778)
"37037020300","37037","NC","Chatham",2790,383,19241,9.9,NA,NA,NA,NA,NA,NA,0.4485,0.6,0.9313,9.42,0,0.19,0,23,23.5,9.9,39,7.5,14.2,c(-79.503747, -79.465408, 35.720841, 35.688107)
"37037020402","37037","NC","Chatham",4499,416,9954,5,NA,NA,NA,NA,NA,NA,0.5586,0.8,0.9976,9.45,0,0.23,0,22.5,14.2,10.6,36.3,5.5,17.4,c(-79.449675, 35.747372)
"37037020500","37037","NC","Chatham",3626,344,4076,2,NA,NA,NA,NA,NA,NA,0.2357,1,0.6002,9.34,0,0.16,0,11.1,18.8,10.4,38.4,7.9,16.1,c(-79.449053, 35.540344)
"37037020702","37037","NC","Chatham",3996,375,33287,18.5,NA,NA,NA,NA,NA,NA,0.5213,0,0.5167,9.81,0.33,0.24,0,13.5,18.7,9,33.5,7.4,12,c(-79.023055, -79.0323, -79.0325, -79.068333, -79.0912, 35.551944, 35.588, 35.568333, 35.654722, 35.6184)
"37041930102","37041","NC","Chowan",2352,283,9623,7.4,NA,NA,NA,NA,NA,NA,0.263,0.6,0.6958,7.51,0,0.13,0,12.4,25.3,10,41.7,8.6,13.8,c(-76.544, -76.571944, 36.054, 36.028611)
"37045950101","37045","NC","Cleveland",4997,647,6739,4,NA,NA,NA,NA,NA,NA,0.0754,1,0.6532,9.34,0.33,0.15,0,14.7,16.8,11,37.4,7.7,18,c(-81.508333, 35.47)
"37045950301","37045","NC","Cleveland",4522,404,8673,5,NA,NA,NA,NA,NA,NA,0.3667,0.8,0.7056,9.78,0.67,0.21,0,13.9,17.3,10.6,36.5,6.9,16.1,c(-81.426111, 35.352222)
"37045950601","37045","NC","Cleveland",3820,496,11544,5.9,NA,NA,NA,NA,NA,NA,0.6622,0.2,0.5668,9.86,0.67,0.28,0,17.8,16.8,10.3,33.4,6.7,16.1,c(-81.430385, -81.429433, -81.419019, 35.244125, 35.241145, 35.259825)
"37045950900","37045","NC","Cleveland",2649,322,-30,1.8,0.037,0.004,0.165,0.037,0.004,0.165,0.7161,0.8,0.832,9.76,0.67,0.34,0,10,18.4,13.2,50.2,7.2,17.8,c(-81.5225, 35.3036)
"37045951200","37045","NC","Cleveland",5651,628,3404,2,NA,NA,NA,NA,NA,NA,0.8714,0.8,0.9498,9.78,0.33,0.32,0,15.1,18.9,10.7,40,7.9,15.2,c(-81.568878, 35.289757)
"37045951300","37045","NC","Cleveland",2891,378,39626,21.4,NA,NA,NA,NA,NA,NA,0.7917,0.6,0.5053,9.71,0.33,0.25,0,8.5,18.8,10.1,35.2,7.6,15,c(-81.588436, -81.615278, 35.309229, 35.283056)
"37045951400","37045","NC","Cleveland",6397,489,15529,15.7,NA,NA,NA,NA,NA,NA,0.3814,0,0.7449,9.58,0,0.2,0,8.9,20.4,10.3,34.7,7.1,15.2,c(-81.623934, -81.6292, -81.621944, -81.696944, 35.318824, 35.3264, 35.328056, 35.305)
"37045951502","37045","NC","Cleveland",1192,207,4757642,1584.5,NA,NA,NA,NA,NA,NA,0.4802,0.2,0.6521,9.71,0.33,0.19,0,12,16.9,10.2,34.6,7.4,15.7,c(-81.751, -81.7594, -81.665, 35.188, 35.22, 35.1785)
"37045951503","37045","NC","Cleveland",2618,312,1535,1,NA,NA,NA,NA,NA,NA,0.4375,0,0.5383,9.75,0,0.21,0,7.1,14.5,10.1,33.4,7.1,15,c(-81.5956, 35.2536)
"37045951601","37045","NC","Cleveland",4302,416,5662,4,NA,NA,NA,NA,NA,NA,0.6762,0.8,0.7293,9.8,0,0.22,0,14,14,11.1,38.2,6.6,16.7,c(-81.559722, -81.564248, 35.23222, 35.232396)
"37045951602","37045","NC","Cleveland",4656,493,9770,5,NA,NA,NA,NA,NA,NA,0.6742,0.8,0.7808,9.82,0.67,0.25,0,16.6,17.5,10.8,36.8,6.9,16.8,c(-81.515833, 35.260833)
"37047930100","37047","NC","Columbus",4615,621,421616.523,66,NA,NA,NA,NA,NA,NA,0.6146,0.8,0.8559,7.83,0,0.15,0,16.5,16.5,11,42.3,7,16.1,c(-78.20425, -78.221475, -78.20905, -78.2137, 34.312472, 34.308744, 34.318997, 34.3533)
"37047930300","37047","NC","Columbus",2859,309,8648,4.9,NA,NA,NA,NA,NA,NA,0.0247,0.8,0.8217,8,0,0.14,0,7.5,27.5,10.7,42.1,8.4,15,c(-78.521944, 34.3375)
"37047930400","37047","NC","Columbus",3596,355,9269,5,NA,NA,NA,NA,NA,NA,0.0588,0.8,0.7716,8.14,0,0.14,0,9.9,28.6,11.4,45.8,7.3,16.5,c(-78.658, 34.44)
"37047930600","37047","NC","Columbus",3560,428,18153,9.7,NA,NA,NA,NA,NA,NA,0.1789,0.8,0.8269,8.35,0,0.13,0,17.2,17.2,10.8,41.8,7.4,16.1,c(-78.996148, -79.014444, 34.324366, 34.309722)
"37047930700","37047","NC","Columbus",4313,450,18736,10.8,NA,NA,NA,NA,NA,NA,0.2587,1,0.9701,8.33,0,0.15,0,10.5,21.8,11.9,45.7,7.6,17.5,c(-78.831433, -78.835833, -78.7874, 34.309261, 34.302778, 34.353586)
"37047930900","37047","NC","Columbus",4738,392,24805,15,NA,NA,NA,NA,NA,NA,0.2703,0.8,0.9694,8.26,0,0.18,0,10.9,16.9,12.3,46.8,7,18.9,c(-78.691944, -78.764901, -78.793056, 34.323889, 34.324656, 34.325278)
"37047931000","37047","NC","Columbus",5405,480,9397,5,NA,NA,NA,NA,NA,NA,0.4134,0.8,0.882,8.17,0,0.16,0,19.1,14.9,10.5,38.1,6.5,16.7,c(-78.701463, 34.307121)
"37049960102","37049","NC","Craven",4450,511,15327,10,NA,NA,NA,NA,NA,NA,0.2223,0,0.6933,7.72,0,0.13,0,10.9,16.6,9.8,34.2,6.9,14.8,c(-77.056725, -77.0743, 35.209564, 35.2167)
"37049960401","37049","NC","Craven",4620,320,314183,50,433.286,329.498,361976.671,433.286,329.498,361976.671,0.0854,0.4,0.472,7.81,0,0.16,0,7.3,29.3,9,39,9.2,11.6,c(-77.167883, 35.130193)
"37049960404","37049","NC","Craven",2954,126,9502,5,NA,NA,NA,NA,NA,NA,0.0357,0.6,0.4752,7.78,0,0.16,0,9.5,35.3,8.4,42.4,11.3,10.1,c(-77.185206, 35.067661)
"37051002600","37051","NC","Cumberland",5241,462,31608,323.2,NA,NA,NA,NA,NA,NA,0.7124,0.6,0.8173,9.44,0,0.25,0,5.1,19.3,9.8,39.8,8.2,14.1,c(-78.8294, -78.681111, -78.669479, -78.673331, -78.689, 35.0986, 35.204444, 35.21871, 35.219272, 35.216)
"37053110302","37053","NC","Currituck",3705,292,39215,20,NA,NA,NA,NA,NA,NA,0.3953,0.2,0.6252,7.31,0.33,0.16,0,16.6,14.5,9.8,35.3,7.2,14.3,c(-76.087222, 36.433333)
"37055970502","37055","NC","Dare",3649,490,228,15,9.825,0.886,40.424,9.825,0.886,40.424,0.0288,0.4,0.7934,6.61,0.67,0.13,0,16.5,20.5,9.6,35.6,7.7,14.4,c(-75.534722, 35.267222)
"37057060500","37057","NC","Davidson",5617,619,12711,1.6,0,2.309,0,95.903,3.101,320.607,0.84,0.4,0.5403,9.82,1,0.3,0,8.3,19.2,9.9,36.3,8,14.7,c(-80.183458, 35.841299)
"37057060601","37057","NC","Davidson",4540,431,95,1.8,1.985,0.191,8.697,1.985,0.191,8.697,0.3949,0.2,0.4067,9.8,1.33,0.3,0,10.7,9.4,9.9,30.7,6.1,15.7,c(-80.1106, 35.9403)
"37057061400","37057","NC","Davidson",3141,429,-47,1.8,0.065,0.006,0.284,0.065,0.006,0.284,0.7585,0.8,0.9986,9.85,0.67,0.4,0,31,10,12.8,42.3,5.8,22.2,c(-80.242154, 35.830877)
"37057061803","37057","NC","Davidson",3107,388,-50,6.6,NA,NA,NA,NA,NA,NA,0.9812,0.6,0.6481,9.84,1,0.37,0,10.4,20.3,10.2,37.3,7,15.5,c(-80.277778, -80.2594, 35.755, 35.7736)
"37057062001","37057","NC","Davidson",4513,472,140934.999,33,NA,NA,NA,NA,NA,NA,0.5328,0.6,0.5132,9.5,0.67,0.21,0,13.5,20.8,10.1,36.6,7.6,15.6,c(-80.2339, 35.6008)
"37059080400","37059","NC","Davie",4883,414,17583,10,NA,NA,NA,NA,NA,NA,0.6216,0.2,0.2008,9.61,0.67,0.23,0,4.8,24.3,9.2,33.2,7.5,12.6,c(-80.376, -80.416944, 35.933, 35.903333)
"37059080500","37059","NC","Davie",4635,442,9218,5,NA,NA,NA,NA,NA,NA,0.7832,0,0.7203,9.56,0.33,0.26,0,10.2,15.1,10,34.8,6.8,14.7,c(-80.541944, 35.878611)
"37063001801","37063","NC","Durham",8618,891,18622,7.2,NA,NA,NA,NA,NA,NA,0.5498,0.4,0.7635,9.82,0,0.31,0,21.3,11.4,10.5,36.2,5.7,14.7,c(-78.86, -78.823889, 36.0311, 36.08)
"37063001802","37063","NC","Durham",8121,877,5799,3.5,NA,NA,NA,NA,NA,NA,0.6418,0.8,0.9866,10.02,0,0.44,0,29,10.7,12.1,39.5,4.8,18.4,c(-78.848475, 36.004941)
"37063002100","37063","NC","Durham",9200,962,8615,5,NA,NA,NA,NA,NA,NA,0.2639,0.4,0.3942,9.46,0,0.19,0,4.1,18,9,35.2,7.7,11.8,c(-78.949586, 36.230561)
"37063980100","37063","","Durham",0,12,1540,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.15,0,0.51,0,NA,NA,NA,NA,NA,NA,c(-78.873333, 35.911667)
"37065020600","37065","NC","Edgecombe",2364,353,232696,100,NA,NA,NA,NA,NA,NA,0.5331,0.8,0.8703,8.84,0,0.18,0,18.6,18.5,12.4,42.8,5.6,18.3,c(-77.696443, 36.003272)
"37065020700","37065","NC","Edgecombe",1918,227,9115,5,NA,NA,NA,NA,NA,NA,0.2268,0.8,0.8132,8.66,0,0.16,0,9.6,23.4,11.6,45.7,6.9,16.5,c(-77.623, 36.058)
"37065020800","37065","NC","Edgecombe",3324,372,169143,90,NA,NA,NA,NA,NA,NA,0.2151,0.8,0.8307,8.47,0,0.15,0,11.2,19,11.7,42.8,6.8,17.5,c(-77.457772, -77.481, -77.499167, 35.825182, 35.822, 35.858056)
"37065021300","37065","NC","Edgecombe",4942,488,179555,86.9,NA,NA,NA,NA,NA,NA,0.3719,0.8,0.797,8.78,0,0.18,0,12.9,18,10.8,38.6,6.7,16.1,c(-77.6731, -77.64, -77.615869, 35.9222, 35.9, 35.829572)
"37067002807","37067","NC","Forsyth",5269,403,2936,1.5,NA,NA,NA,NA,NA,NA,0.2205,0.4,0.587,8.91,0,0.22,0,9.1,18.4,10.1,36.8,7.4,14.7,c(-80.25463, 36.24634)
"37067002904","37067","NC","Forsyth",2285,195,24513,4.5,0,6.898,0,34.652,9.266,957.931,0.2945,0.4,0.4551,9.01,0.67,0.2,0,17,14.8,9.6,37.8,7.8,14.4,c(-80.183458, 36.191241)
"37067003103","37067","NC","Forsyth",5463,566,11394,2.4,0,2.401,0,110.07,3.225,333.353,0.2261,0,0.3803,9.22,0.67,0.21,0,9.9,17.7,8.8,29.8,6.7,12,c(-80.040555, 36.193611)
"37067003500","37067","NC","Forsyth",7565,690,32238,8.4,15.353,1.979,11465.107,201.738,25.999,150651.877,0.8609,0.8,0.9239,9.5,1.33,0.34,0,16.4,13.3,11,36.1,5.6,16.9,c(-80.227404, 36.033761)
"37067003803","37067","NC","Forsyth",5480,638,8797,5.2,NA,NA,NA,NA,NA,NA,0.3971,0.2,0.3916,9.41,1.33,0.28,0,7.9,17.9,9.3,33.3,7.5,12.7,c(-80.302, 36.0288)
"37069060100","37069","NC","Franklin",4744,403,5276,3.5,NA,NA,NA,NA,NA,NA,0.0571,0.8,0.9132,9.1,0,0.16,0,11.6,19.4,11.3,44,7.1,16.3,c(-78.25, 36.25)
"37069060200","37069","NC","Franklin",3704,356,22378,14,NA,NA,NA,NA,NA,NA,0.076,0.6,0.6714,8.95,0,0.16,0,8.9,19.8,10.3,41,7.6,14.9,c(-78.167778, -78.151987, -78.146944, -78.1525, 36.0975, 36.095572, 36.139444, 36.126944)
"37069060301","37069","NC","Franklin",6123,500,94708,50.2,NA,NA,NA,NA,NA,NA,0.1262,0.6,0.7387,9.2,0,0.18,0,4.3,23.4,10,40.3,7.7,13.3,c(-78.273106, 36.126912)
"37069060302","37069","NC","Franklin",2702,408,25161,13.7,NA,NA,NA,NA,NA,NA,0.4045,0.8,0.9925,9.33,0,0.23,0,11,22.4,12.1,48.2,6.9,18.1,c(-78.35, -78.308, -78.298796, 36.08, 36.057, 36.06936)
"37069060501","37069","NC","Franklin",7599,608,0,1,NA,NA,NA,NA,NA,NA,0.3854,0,0.3159,9.63,0,0.26,0,7.5,14.3,9.1,31.3,6.1,12.4,c(-78.516, 36.0205)
