"FIPS_Code","PCTPOVALL_2021","MEDHHINC_2021"
0,12.8,69717
1000,16.3,53990
1001,10.7,66444
1003,10.8,65658
1005,23,38649
1007,20.6,48454
1009,12,56894
1011,32.1,32027
1013,22.7,39442
1015,19.2,48166
1017,19.7,45447
1019,18.2,46365
1021,15.5,55142
1023,23.3,40601
1025,19.4,45447
1027,18.4,47036
1029,15,49769
1031,15.9,55052
1033,16.5,53341
1035,22.4,35621
1037,17.1,45954
1039,19.8,44188
1041,17.5,38037
1043,13.5,55036
1045,15.7,50086
1047,29.5,33159
1049,19.4,45062
1051,12,63147
1053,23.8,40506
1055,17.4,46308
1057,19.6,46122
1059,18.9,45440
1061,21.1,43206
1063,33.2,30225
1065,22.1,41995
1067,15.6,56389
1069,19.1,48701
1071,18.9,46998
1073,16.9,55210
1075,17,44265
1077,16.2,52222
1079,13.9,55555
1081,18,54188
1083,9.9,69207
1085,28.3,36993
1087,27.5,35354
1089,10.2,78386
1091,24.6,42048
1093,18.3,44636
1095,15.6,50858
1097,18.2,49848
1099,22.3,40997
1101,21.7,50645
1103,13.5,56340
1105,33.7,31522
1107,21.1,43926
1109,23.9,38945
1111,21.5,45889
1113,21.7,44849
1115,12.8,63015
1117,7.7,85457
1119,35.1,29490
1121,19.1,47331
1123,18.3,47444
1125,14.7,56274
1127,20.2,46343
1129,20.6,49795
1131,32.4,30071
1133,19,47176
2000,10.8,78437
2013,18.4,71492
2016,10.4,86050
2020,9.5,86152
2050,24.6,54849
2060,11.3,88516
2063,7.7,88029
2066,14.3,61288
2068,7.5,85251
2070,21.8,58389
2090,7.9,76754
2100,10.8,63155
2105,17,56555
2110,7.6,89922
2122,11.5,71111
2130,11.3,73260
2150,8.5,80863
2158,30.4,38203
2164,20.6,51205
2170,10.5,80164
2180,19.8,65578
2185,12.4,95041
2188,20.9,67586
2195,8,71878
2198,15,56226
2220,8.6,78248
2230,6.1,65712
2240,12.9,68347
2275,11.3,64732
2282,12.2,73014
2290,23.7,44934
4000,12.9,68967
4001,28.4,41002
4003,17.1,55748
4005,16.9,63829
4007,16.8,52665
4009,20.4,52644
4011,9.5,71669
4012,20.3,44330
4013,11.3,76230
4015,18,48169
4017,24.8,49057
4019,14.7,60604
4021,10.7,70835
4023,20.4,49216
4025,12.5,57676
4027,17.3,55991
5000,16,52577
5001,17.7,50928
5003,21.3,44030
5005,13.4,45116
5007,7.9,78974
5009,13,48700
5011,19.6,40454
5013,14.6,49977
5015,16.8,49225
5017,27.9,34857
5019,20,47158
5021,17.9,41419
5023,16.7,50200
5025,14.1,53705
5027,23.2,44651
5029,16.9,47741
5031,18.2,52490
5033,14.7,54065
5035,23,43821
5037,16.7,45262
5039,20.2,42442
5041,27.6,39042
5043,16.5,46572
5045,13.6,57573
5047,17.2,47834
5049,18,41557
5051,14.5,48053
5053,11.2,67088
5055,12.9,53920
5057,21.2,41281
5059,17.8,51662
5061,17.9,42733
5063,18.9,48957
5065,18.4,40788
5067,22.5,37815
5069,20.3,46100
5071,18.1,43003
5073,23.7,38777
5075,20.4,44661
5077,34.9,29714
5079,22.6,45435
5081,15.7,46619
5083,15.4,45558
5085,11,64633
5087,15.4,49691
5089,17.8,42892
5091,20.4,45450
5093,23.9,41007
5095,25.3,37113
5097,19.9,41359
5099,21.2,40283
5101,19.1,41823
5103,20.2,47169
5105,15.2,51204
5107,35.7,32419
5109,18.6,43710
5111,22.2,42639
5113,19.3,43166
5115,18,47049
5117,15.7,59367
5119,17.6,53597
5121,17,43484
5123,32.2,36781
5125,8.5,68107
5127,17.3,39974
5129,20.9,35422
5131,19.5,49170
5133,18.3,46651
5135,18.3,39183
5137,20.8,37782
5139,17.8,47315
5141,17.1,39629
5143,12.4,64218
5145,16.3,51660
5147,25.2,37331
5149,15.1,48526
6000,12.3,84831
6001,9.4,108971
6003,15.8,87570
6005,11.1,68159
6007,16.6,62982
6009,13.5,68298
6011,11.4,60725
6013,8.8,110595
6015,21.4,48108
6017,8.8,87689
6019,19.4,63140
6021,15.5,56741
6023,19.4,53924
6025,17.3,50970
6027,12.8,62381
6029,18.5,57926
6031,17.7,60810
6033,16.5,55801
6035,18.8,56923
6037,14.1,77356
6039,20.4,60241
6041,7.8,118472
6043,14.1,60377
6045,16.1,57516
6047,21.9,54703
6049,19.9,49273
6051,9.8,70945
6053,12.1,81404
6055,9,94127
6057,11.8,77220
6059,9.9,100210
6061,6.6,103588
6063,13,58154
6065,11.6,78690
6067,13,79611
6069,8.9,95187
6071,13.2,74218
6073,10.7,90756
6075,11.4,119776
6077,12.3,79598
6079,13.1,79688
6081,6.8,131151
6083,15.2,83185
6085,6.9,141161
6087,10.6,90370
6089,14,60187
6091,12.3,60659
6093,16.8,50069
6095,10,87348
6097,9.1,92999
6099,14.1,73151
6101,15.5,63246
6103,15.6,53654
6105,19.1,45508
6107,18.7,57398
6109,13.2,61396
6111,8.9,95819
6113,14.8,76247
6115,15.6,60764
8000,9.7,82228
8001,10,80831
8003,18.3,51009
8005,8.7,84308
8007,11.4,68025
8009,20.3,44257
8011,30,37185
8013,10.7,90327
8014,4.9,106413
8015,10.4,65987
8017,12.9,58544
8019,7.6,78312
8021,16.7,45931
8023,23.1,35416
8025,37.8,38049
8027,10.5,63505
8029,13.9,52403
8031,11.7,81262
8033,13.9,55157
8035,2.9,129839
8037,7.1,94928
8039,5.4,114853
8041,9.6,79094
8043,15.9,51732
8045,9.2,78940
8047,6.9,82370
8049,7.2,78779
8051,12.3,63872
8053,7.6,66213
8055,18.6,46798
8057,14.8,55535
8059,7.3,94401
8061,12.5,61430
8063,12.1,56272
8065,11.3,64416
8067,10.1,74774
8069,11.2,78681
8071,21,42708
8073,14.9,51975
8075,16.4,53234
8077,10.6,63531
8079,9.6,62213
8081,10.8,64133
8083,15.2,53337
8085,12.5,56686
8087,12.4,61849
8089,19.7,45658
8091,6.4,80686
8093,7.3,84361
8095,11.9,56577
8097,6.7,96316
8099,19.2,48337
8101,16.2,56311
8103,10.2,65334
8105,14.4,52353
8107,6,93776
8109,21.6,43366
8111,13.8,54146
8113,9,79742
8115,14.2,45645
8117,6.7,90297
8119,7.9,76715
8121,11.6,57522
8123,9.8,84826
8125,13.5,56161
9000,10.1,83628
9001,9.1,100703
9003,10.6,79958
9005,8.6,84689
9007,6.6,94735
9009,12,75094
9011,8.9,78552
9013,11.1,86430
9015,11.6,71581
10000,11.5,71636
10001,12.2,64670
10003,11.4,74088
10005,11.5,70500
11000,16.8,91072
11001,16.8,91072
12000,13.2,63054
12001,19.1,56006
12003,16.1,60994
12005,13.9,60106
12007,19.1,54911
12009,11.3,65280
12011,12.8,65536
12013,20.6,43210
12015,10.9,59547
12017,15.5,48237
12019,8,76711
12021,10.4,75799
12023,16.5,52035
12027,25.5,43256
12029,23.4,39029
12031,14.9,60121
12033,18.5,54492
12035,10.3,65783
12037,21,44684
12039,25.8,45678
12041,15.3,52168
12043,19.2,46389
12045,15.7,51684
12047,25.7,39522
12049,21.9,45964
12051,21.7,48841
12053,12,56443
12055,15.1,47820
12057,14.3,65818
12059,20,44139
12061,11.7,61351
12063,20.6,42721
12065,16.4,56130
12067,18.9,45732
12069,10,64662
12071,12.2,66426
12073,16.2,57246
12075,18.8,45494
12077,23.1,48271
12079,21.8,43444
12081,9.9,67929
12083,13.6,54555
12085,11.4,67059
12086,15.2,58905
12087,11,68975
12089,9.9,78069
12091,9.7,69053
12093,20.9,47642
12095,14.9,64579
12097,13.3,60495
12099,11.6,70024
12101,11.6,59555
12103,12.3,61851
12105,15.6,56344
12107,26.3,38759
12109,6.3,94662
12111,11.4,62378
12113,8.9,80837
12115,8.6,71630
12117,9.4,70470
12119,9.5,69707
12121,20.6,46284
12123,20.1,47083
12125,22.7,48667
12127,13.8,58246
12129,10.1,71962
12131,12.4,64779
12133,19.2,47930
13000,14.2,66507
13001,18.2,46530
13003,23.8,40303
13005,23.4,43154
13007,25.9,44106
13009,24.4,44685
13011,12.8,60485
13013,9.6,67646
13015,11.6,67604
13017,22.1,39863
13019,17.2,46404
13021,24.5,47859
13023,19,51770
13025,18.4,48076
13027,23.5,40936
13029,8.1,87334
13031,21.3,53105
13033,20.7,46977
13035,14,61471
13037,34,38232
13039,11.8,63482
13043,22,41593
13045,16.3,59894
13047,11.6,64245
13049,24.6,47229
13051,15.5,61527
13053,16.5,53786
13055,20.2,42974
13057,7,96997
13059,21.5,49145
13061,24.3,35957
13063,18.9,51422
13065,23.9,44799
13067,9.6,87532
13069,26,36708
13071,22.4,44485
13073,7.3,87281
13075,20.1,44995
13077,8.1,85182
13079,16.3,54442
13081,24.2,41505
13083,11.3,64054
13085,9,76903
13087,23.8,42960
13089,14.5,70756
13091,25.6,40856
13093,22.5,43270
13095,26.1,41985
13097,12.8,66162
13099,26.1,38817
13101,21.6,42241
13103,9.2,76626
13105,19.2,42866
13107,24.1,45252
13109,23.9,41847
13111,13.2,54446
13113,6.5,92319
13115,16.2,59685
13117,5.3,120919
13119,16.5,48045
13121,13.7,82820
13123,14,57970
13125,15.3,49175
13127,16.5,60685
13129,12.8,56053
13131,22.4,42171
13133,14,65261
13135,10.8,75021
13137,13.3,55987
13139,12.1,68057
13141,30.5,35830
13143,14.9,62472
13145,8.2,80911
13147,15.8,59149
13149,17.2,50379
13151,9.5,76577
13153,11.6,71609
13155,21.4,44540
13157,11.9,72486
13159,14.7,61354
13161,19.4,42192
13163,20.3,42461
13165,27.4,38497
13167,26.7,37703
13169,12.5,61509
13171,14.1,55933
13173,19.8,47789
13175,21.9,47905
13177,9.8,76546
13179,18.1,50696
13181,16.5,50080
13183,14.6,55601
13185,24.4,46565
13187,13.6,64077
13189,19.6,44597
13191,21.4,47651
13193,30.3,35660
13195,15.1,56526
13197,21.3,39717
13199,21.7,46799
13201,24.2,44814
13205,24.7,42539
13207,11.7,65697
13209,20.8,47618
13211,10.9,67187
13213,15.7,53297
13215,20.4,52090
13217,12.5,71366
13219,6,112581
13221,13.4,57215
13223,7.6,89632
13225,19.5,54921
13227,10.3,72539
13229,15.4,51688
13231,9.7,75668
13233,17.7,49061
13235,20.9,45594
13237,16.2,55826
13239,24.5,38357
13241,12.5,58463
13243,28.1,34883
13245,21.4,47816
13247,13.6,65746
13249,16.1,53369
13251,20.3,45061
13253,23.3,41917
13255,21.3,52902
13257,16.7,47909
13259,31.4,37318
13261,27.9,39008
13263,23.3,42646
13265,23,40045
13267,28,44225
13269,22.7,41030
13271,30.2,38091
13273,26.6,40549
13275,19.1,50154
13277,21.4,48717
13279,22.9,45253
13281,13.6,51810
13283,21.8,40947
13285,15.6,49557
13287,26.2,37477
13289,21.1,47382
13291,12,59494
13293,18.8,47140
13295,14.2,47810
13297,10.7,73839
13299,24.3,43065
13301,25.6,40361
13303,22.6,46051
13305,24.7,46314
13307,20.4,44084
13309,33.2,35664
13311,12.5,61473
13313,13.4,56973
13315,27.6,38449
13317,20.1,42567
13319,21.2,46475
13321,20.6,48943
15000,10.9,85547
15001,14.7,67896
15003,10,90176
15005,NA,NA
15007,11.2,76719
15009,11.4,75421
16000,10.8,66318
16001,8.7,79345
16003,12.8,51829
16005,12.9,60058
16007,9.7,60265
16009,13.7,53667
16011,11.3,63576
16013,7.2,86735
16015,12,71545
16017,11.8,61940
16019,9.8,69880
16021,12.1,55285
16023,15.8,52221
16025,9.5,57230
16027,11,64301
16029,9.8,66697
16031,11.3,63356
16033,14.3,52838
16035,14.8,53344
16037,12.6,53846
16039,11.3,51436
16041,8.2,59974
16043,11.8,58878
16045,12.4,58562
16047,10.9,59174
16049,13.5,51056
16051,8,75957
16053,12.6,59040
16055,9.5,68043
16057,13.6,59436
16059,12,57499
16061,13.2,50128
16063,11.3,57111
16065,17.6,55721
16067,13.9,61010
16069,15.4,61951
16071,10.8,60769
16073,14.2,52374
16075,12,58885
16077,12.7,57322
16079,17.9,47699
16081,7.4,84015
16083,13.4,57487
16085,8.3,69425
16087,13.7,51067
17000,12.1,72215
17001,11.8,59777
17003,21.8,41816
17005,13.5,57287
17007,10.1,71557
17009,16.6,51294
17011,12.1,61431
17013,10.1,63586
17015,13.5,54450
17017,11.4,60961
17019,15,58787
17021,12,52500
17023,10.2,58741
17025,14.1,51042
17027,9.1,77272
17029,17.4,47693
17031,13.8,72063
17033,13.6,59128
17035,10.4,69740
17037,14.2,67081
17039,10.7,64325
17041,9.1,65447
17043,6.9,99536
17045,13,56772
17047,12,53779
17049,9.3,69988
17051,15.3,52610
17053,11.2,57483
17055,16.5,49510
17057,15.2,50978
17059,17.4,48424
17061,14.1,53394
17063,6.6,83254
17065,13.2,55409
17067,11.9,56700
17069,18.7,47144
17071,12.3,59415
17073,9.5,62683
17075,10.6,60736
17077,22.3,43334
17079,9.9,59069
17081,15.3,53294
17083,9.3,68675
17085,8.6,67839
17087,13.3,57073
17089,8.6,90941
17091,13.4,63880
17093,4.9,100483
17095,14.7,47559
17097,8.5,95895
17099,13.2,64447
17101,19.2,46525
17103,13.2,60542
17105,11.7,61569
17107,13.5,58939
17109,17.9,53024
17111,6,92522
17113,13.4,71309
17115,17.1,48245
17117,15.4,57755
17119,11.4,65886
17121,15.5,55292
17123,9.9,64132
17125,12.4,58828
17127,16.5,52680
17129,8.4,75687
17131,11,64731
17133,4.5,93054
17135,13.2,59116
17137,14.1,54644
17139,9.6,69652
17141,8.4,74472
17143,16.3,56460
17145,16.6,53071
17147,6.5,81583
17149,13.7,54474
17151,17.1,50404
17153,22.3,42738
17155,7.5,74798
17157,15,58694
17159,14.2,56852
17161,16.5,58171
17163,13.3,66422
17165,17.6,50914
17167,14.4,68476
17169,12.3,57839
17171,11.5,63510
17173,10.3,55725
17175,11.4,58265
17177,12.1,56263
17179,9.3,65427
17181,17,52384
17183,19.7,49825
17185,14.5,56183
17187,13.3,61734
17189,8.5,66746
17191,14.3,51669
17193,15.7,50653
17195,13.2,56805
17197,7.9,93994
17199,14.7,55447
17201,14.2,57113
17203,6.7,85085
18000,12.1,62723
18001,12.6,62282
18003,13.1,62680
18005,8.1,72458
18007,10.5,60738
18009,12.9,47553
18011,5.5,98047
18013,10.8,66839
18015,8.5,57019
18017,12.1,53813
18019,10.4,62822
18021,11.1,64245
18023,10.4,60609
18025,15.4,52031
18027,12.7,59888
18029,7.6,73150
18031,9.9,64871
18033,8,65059
18035,18.4,50533
18037,7.5,67615
18039,11.3,62233
18041,13.6,50642
18043,9.2,67330
18045,10.6,55195
18047,8.6,61261
18049,11.1,57400
18051,11.4,60592
18053,18.8,50248
18055,14.3,55504
18057,3.8,108203
18059,5.5,80326
18061,8.5,66989
18063,5.3,90298
18065,15.1,52994
18067,11.9,56268
18069,10.6,55546
18071,14.2,61943
18073,8.7,74336
18075,13.6,52315
18077,11.6,59333
18079,12.7,61964
18081,7.5,79914
18083,15,56564
18085,9.4,66525
18087,7.5,80335
18089,13.9,61468
18091,12.2,62620
18093,12.6,52557
18095,15.7,54026
18097,15.1,58737
18099,8.6,68799
18101,11.6,61520
18103,14.9,56867
18105,21.1,53166
18107,11.7,57997
18109,10.3,69203
18111,11.9,61336
18113,9.1,65979
18115,9.1,64947
18117,14.4,52910
18119,11.3,57716
18121,16,55683
18123,12.8,58097
18125,11.3,52093
18127,9.7,80878
18129,9.1,74102
18131,11.5,58239
18133,12,61223
18135,14,50809
18137,8.9,65893
18139,11,60486
18141,14.3,59325
18143,14.4,54747
18145,9.9,64528
18147,8.1,62311
18149,14.2,57994
18151,9.7,65407
18153,16.2,47606
18155,13.9,57362
18157,17.7,55192
18159,9,67866
18161,11.2,65572
18163,13.9,53795
18165,12.4,53540
18167,20.4,48421
18169,11.2,62193
18171,8.9,63154
18173,6.8,83005
18175,11.3,57348
18177,15.9,50569
18179,7.6,66102
18181,10,62151
18183,7.3,64146
19000,11,65645
19001,10.2,60847
19003,10.6,54403
19005,9.9,60717
19007,17,51222
19009,10.2,69484
19011,8.4,78155
19013,13.5,60716
19015,7.8,69888
19017,7.1,75395
19019,9.8,64503
19021,10.8,60576
19023,8.8,65284
19025,12.1,59643
19027,9.3,65598
19029,14.4,55909
19031,7.3,75894
19033,11.7,55465
19035,10.2,64286
19037,8.5,67667
19039,9.6,58483
19041,9.4,60162
19043,10,56076
19045,11.5,60528
19047,11.4,58874
19049,5.3,94467
19051,10.1,75730
19053,16.5,48666
19055,9.1,69767
19057,13.2,53917
19059,7.5,67949
19061,8.1,73968
19063,11.5,52000
19065,11.8,56366
19067,11.3,59638
19069,10.1,60269
19071,10.5,68622
19073,11.3,57737
19075,6.3,71652
19077,9.8,66112
19079,8.3,64292
19081,8.7,61544
19083,9.7,58126
19085,10.4,67433
19087,12.2,61112
19089,9.9,58857
19091,10,69252
19093,10.7,58792
19095,7.7,66613
19097,11.8,61307
19099,9.3,65714
19101,13.5,52763
19103,14.7,68664
19105,10.5,62810
19107,11.2,56843
19109,10.5,62571
19111,14.1,56001
19113,9.7,70464
19115,11.1,64151
19117,12.9,64796
19119,6.9,70654
19121,7.4,82730
19123,12.5,62776
19125,8.6,69307
19127,11.6,63541
19129,8.5,76917
19131,8.8,61719
19133,12.1,56394
19135,10.5,62014
19137,11.7,53399
19139,11.1,63519
19141,10.2,62959
19143,9,62624
19145,16.2,55317
19147,11.8,57866
19149,7.2,74002
19151,10.1,59634
19153,10.1,73276
19155,12.3,66144
19157,12.6,60542
19159,13.3,52849
19161,10,66007
19163,12.9,66443
19165,8,64534
19167,6.6,84283
19169,17.9,65137
19171,12.9,61660
19173,12.8,54458
19175,12.8,55698
19177,12.7,53210
19179,15.5,55297
19181,5.4,85704
19183,8.7,65761
19185,13.4,53282
19187,14.8,55183
19189,10.5,59949
19191,8.7,70482
19193,15.5,60110
19195,9.8,64965
19197,10.5,61072
20000,11.6,64128
20001,16.1,50794
20003,12.1,57068
20005,14.7,57445
20007,10.8,56344
20009,14.2,54236
20011,15.2,51355
20013,14,52446
20015,9.6,71826
20017,10.9,57415
20019,15.5,46986
20021,14.9,51353
20023,13.8,49281
20025,11.4,58699
20027,9.7,59343
20029,13.3,50176
20031,9.3,64991
20033,10,51548
20035,13.9,51699
20037,21.3,47718
20039,12.3,49062
20041,9.9,60693
20043,12.7,59400
20045,15.9,59763
20047,12,40896
20049,16.2,45405
20051,12.5,58846
20053,10.7,59368
20055,12.5,62157
20057,11.6,67105
20059,10.3,64136
20061,12.5,54104
20063,9.8,58442
20065,12.4,49884
20067,11.2,64425
20069,7.5,69219
20071,9.5,65448
20073,15.3,50157
20075,11.9,61066
20077,16.3,49103
20079,9.6,65989
20081,9.5,66245
20083,9.6,65042
20085,9.3,54623
20087,8,73702
20089,13.2,52362
20091,5.9,93220
20093,10.4,76518
20095,11.7,58917
20097,11.5,55600
20099,16.9,49185
20101,9.3,61506
20103,8.7,81325
20105,11.2,53199
20107,11.8,57104
20109,8.9,61365
20111,13.8,51420
20113,8.7,64853
20115,10.6,56983
20117,10.6,55737
20119,9.7,68909
20121,7.2,77550
20123,10.3,59001
20125,15.9,49251
20127,10.8,53808
20129,11.3,57476
20131,8.4,68755
20133,15,51056
20135,9.6,57269
20137,12.9,52131
20139,10.1,63166
20141,12.1,52866
20143,10.7,58366
20145,14.9,54004
20147,12,54720
20149,8,78296
20151,11.7,58506
20153,11.5,49823
20155,13.1,52121
20157,11.2,50131
20159,12.9,58384
20161,17.6,57144
20163,10,51957
20165,13.1,53110
20167,14.5,48071
20169,12.9,57643
20171,7.2,66233
20173,13.3,60540
20175,13.7,61897
20177,14.6,56625
20179,11.1,58786
20181,13.5,54207
20183,12.1,49756
20185,12.4,52542
20187,10.9,65457
20189,9.9,64368
20191,12.2,58342
20193,8.7,61169
20195,10.5,56619
20197,7.7,72031
20199,12.4,59241
20201,9.9,55590
20203,11.3,58549
20205,17.1,46829
20207,14.2,41706
20209,16.9,54943
21000,16.3,55532
21001,24.2,42112
21003,17.1,51485
21005,9,67773
21007,14.4,53491
21009,19.3,49245
21011,20.6,43410
21013,32.1,31033
21015,6.4,85284
21017,15.1,58304
21019,21,48979
21021,15.5,52940
21023,14.8,55347
21025,31,33005
21027,16.9,50012
21029,11.1,68630
21031,18.2,49288
21033,16.1,46240
21035,16.8,49263
21037,11.1,71245
21039,15.6,56804
21041,17.9,49814
21043,25.6,43538
21045,20.7,38320
21047,16.7,48416
21049,11.6,60774
21051,35.9,30700
21053,22.6,36865
21055,18.9,46263
21057,22.5,39511
21059,13.6,59304
21061,18.4,47734
21063,26.6,34491
21065,22.6,41843
21067,14.6,61269
21069,17.4,50025
21071,28,36253
21073,13.3,60517
21075,23.4,35630
21077,14.7,57345
21079,14.4,54882
21081,12.7,61078
21083,16.2,49668
21085,18.2,45695
21087,19.5,42569
21089,14.6,54292
21091,12.6,60897
21093,11.7,61224
21095,33.2,31116
21097,14.1,58535
21099,20.4,50074
21101,12.4,56142
21103,14,56593
21105,18.6,49328
21107,18.6,49883
21109,25.2,36997
21111,14.5,60636
21113,13.8,61652
21115,24.2,41013
21117,12.6,70693
21119,32,34051
21121,35.1,32646
21123,15.5,54470
